Latitude (decimal degrees):	44.505
Longitude (decimal degrees):	11.345
Elevation (m):	47
Radiation database:	PVGIS-SARAH


Slope: 41 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20150317:1910,0.0,0.0,0.0,9.69,2.0,0.0
20150317:2010,0.0,0.0,0.0,8.98,1.62,0.0
20150317:2110,0.0,0.0,0.0,8.27,1.24,0.0
20150317:2210,0.0,0.0,0.0,7.67,1.48,0.0
20150317:2310,0.0,0.0,0.0,7.06,1.71,0.0
20150318:0010,0.0,0.0,0.0,6.45,1.94,0.0
20150318:0110,0.0,0.0,0.0,6.41,1.94,0.0
20150318:0210,0.0,0.0,0.0,6.37,1.93,0.0
20150318:0310,0.0,0.0,0.0,6.33,1.92,0.0
20150318:0410,0.0,0.0,0.0,5.98,1.85,0.0
20150318:0510,0.0,0.0,0.0,5.64,1.78,0.0
20150318:0610,298110.0,344.99,7.7,5.3,1.71,0.0
20150318:0710,515590.0,608.51,18.04,7.9,1.93,0.0
20150318:0810,689540.0,843.26,27.61,10.51,2.15,0.0
20150318:0910,744400.0,929.88,35.8,13.11,2.37,0.0
20150318:1010,697000.0,872.67,41.74,13.92,2.16,0.0
20150318:1110,715210.0,905.72,44.46,14.72,1.94,0.0
20150318:1210,733550.0,939.28,43.36,15.53,1.72,0.0
20150318:1310,747200.0,959.98,38.69,15.5,1.61,0.0
20150318:1410,724460.0,927.09,31.35,15.48,1.5,0.0
20150318:1510,635700.0,799.94,22.28,15.46,1.39,0.0
20150318:1610,384140.0,462.71,12.21,13.73,1.65,0.0
20150318:1710,0.0,0.0,1.64,12.01,1.91,0.0
20150318:1810,0.0,0.0,0.0,10.29,2.17,0.0
20150318:1910,0.0,0.0,0.0,9.1,2.13,0.0
20150318:2010,0.0,0.0,0.0,7.9,2.09,0.0
20150318:2110,0.0,0.0,0.0,6.71,2.06,0.0
20150318:2210,0.0,0.0,0.0,6.86,1.77,0.0
20150318:2310,0.0,0.0,0.0,7.0,1.48,0.0
20150319:0010,0.0,0.0,0.0,7.14,1.19,0.0
20150319:0110,0.0,0.0,0.0,6.85,1.34,0.0
20150319:0210,0.0,0.0,0.0,6.55,1.49,0.0
20150319:0310,0.0,0.0,0.0,6.26,1.64,0.0
20150319:0410,0.0,0.0,0.0,5.81,1.43,0.0
20150319:0510,0.0,0.0,0.0,5.36,1.21,0.0
20150319:0610,125470.0,155.18,8.03,4.92,0.99,0.0
20150319:0710,219660.0,263.7,18.38,7.84,1.14,0.0
20150319:0810,307210.0,370.01,27.97,10.76,1.29,0.0
20150319:0910,756340.0,966.55,36.18,13.68,1.43,0.0
20150319:1010,805430.0,1032.58,42.14,14.43,1.96,0.0
20150319:1110,832430.0,1066.04,44.86,15.18,2.49,0.0
20150319:1210,843030.0,1075.85,43.73,15.93,3.02,0.0
20150319:1310,824660.0,1046.62,39.02,15.87,3.14,0.0
20150319:1410,773750.0,971.5,31.64,15.82,3.25,0.0
20150319:1510,680210.0,839.72,22.54,15.77,3.37,0.0
20150319:1610,514220.0,617.09,12.44,13.93,3.1,0.0
20150319:1710,0.0,0.0,1.86,12.09,2.83,0.0
20150319:1810,0.0,0.0,0.0,10.26,2.57,0.0
20150319:1910,0.0,0.0,0.0,9.24,2.47,0.0
20150319:2010,0.0,0.0,0.0,8.21,2.37,0.0
20150319:2110,0.0,0.0,0.0,7.19,2.28,0.0
20150319:2210,0.0,0.0,0.0,6.81,2.49,0.0
20150319:2310,0.0,0.0,0.0,6.43,2.71,0.0
20150320:0010,0.0,0.0,0.0,6.05,2.92,0.0
20150320:0110,0.0,0.0,0.0,5.84,2.75,0.0
20150320:0210,0.0,0.0,0.0,5.63,2.57,0.0
20150320:0310,0.0,0.0,0.0,5.42,2.4,0.0
20150320:0410,0.0,0.0,0.0,5.29,1.93,0.0
20150320:0510,0.0,0.0,0.0,5.16,1.46,0.0
20150320:0610,242660.0,284.06,8.37,5.03,0.99,0.0
20150320:0710,568370.0,683.37,18.73,7.78,0.97,0.0
20150320:0810,705840.0,885.35,28.34,10.53,0.94,0.0
20150320:0910,812930.0,1062.41,36.57,13.28,0.91,0.0
20150320:1010,837670.0,1093.41,42.54,14.24,1.39,0.0
20150320:1110,749290.0,958.13,45.26,15.21,1.87,0.0
20150320:1210,642540.0,806.51,44.1,16.17,2.34,0.0
20150320:1310,734390.0,923.92,39.35,16.18,2.98,0.0
20150320:1410,753470.0,940.93,31.92,16.2,3.62,0.0
20150320:1510,672710.0,824.28,22.79,16.22,4.26,0.0
20150320:1610,520240.0,624.2,12.67,14.44,3.51,0.0
20150320:1710,0.0,0.0,2.09,12.66,2.76,0.0
20150320:1810,0.0,0.0,0.0,10.88,2.01,0.0
20150320:1910,0.0,0.0,0.0,9.88,1.97,0.0
20150320:2010,0.0,0.0,0.0,8.89,1.93,0.0
20150320:2110,0.0,0.0,0.0,7.89,1.89,0.0
20150320:2210,0.0,0.0,0.0,7.51,1.49,0.0
20150320:2310,0.0,0.0,0.0,7.12,1.08,0.0
20150321:0010,0.0,0.0,0.0,6.73,0.68,0.0
20150321:0110,0.0,0.0,0.0,6.61,0.76,0.0
20150321:0210,0.0,0.0,0.0,6.48,0.85,0.0
20150321:0310,0.0,0.0,0.0,6.35,0.94,0.0
20150321:0410,0.0,0.0,0.0,6.44,1.03,0.0
20150321:0510,0.0,0.0,0.0,6.53,1.12,0.0
20150321:0610,53880.0,76.7,8.7,6.62,1.21,0.0
20150321:0710,579520.0,697.65,19.07,8.63,1.28,0.0
20150321:0810,575760.0,701.9,28.7,10.65,1.34,0.0
20150321:0910,649440.0,810.43,36.95,12.66,1.41,0.0
20150321:1010,720200.0,913.44,42.94,13.28,1.45,0.0
20150321:1110,689510.0,872.82,45.66,13.9,1.5,0.0
20150321:1210,232520.0,291.09,44.47,14.52,1.54,0.0
20150321:1310,46970.0,72.02,39.67,14.37,1.61,0.0
20150321:1410,156280.0,200.36,32.21,14.22,1.68,0.0
20150321:1510,78970.0,110.07,23.04,14.08,1.75,0.0
20150321:1610,32250.0,53.23,12.91,13.06,1.25,0.0
20150321:1710,0.0,0.0,2.31,12.04,0.74,0.0
20150321:1810,0.0,0.0,0.0,11.03,0.23,0.0
20150321:1910,0.0,0.0,0.0,10.54,0.4,0.0
20150321:2010,0.0,0.0,0.0,10.04,0.57,0.0
20150321:2110,0.0,0.0,0.0,9.55,0.73,0.0
20150321:2210,0.0,0.0,0.0,9.41,0.8,0.0
20150321:2310,0.0,0.0,0.0,9.27,0.87,0.0
20150322:0010,0.0,0.0,0.0,9.12,0.94,0.0
20150322:0110,0.0,0.0,0.0,8.69,1.27,0.0
20150322:0210,0.0,0.0,0.0,8.25,1.61,0.0
20150322:0310,0.0,0.0,0.0,7.81,1.94,0.0
20150322:0410,0.0,0.0,0.0,7.87,1.87,0.0
20150322:0510,0.0,0.0,0.0,7.93,1.79,0.0
20150322:0610,45090.0,66.95,9.03,8.0,1.71,0.0
20150322:0710,43990.0,66.96,19.42,9.39,2.02,0.0
20150322:0810,47280.0,71.27,29.06,10.77,2.34,0.0
20150322:0910,27290.0,46.86,37.33,12.16,2.65,0.0
20150322:1010,83070.0,114.3,43.34,12.64,3.21,0.0
20150322:1110,215290.0,267.21,46.06,13.12,3.77,0.0
20150322:1210,81380.0,112.65,44.84,13.6,4.33,0.0
20150322:1310,40250.0,63.33,40.0,13.33,4.63,0.0
20150322:1410,55280.0,81.44,32.49,13.06,4.92,0.0
20150322:1510,56140.0,82.35,23.29,12.79,5.21,0.0
20150322:1610,24750.0,43.56,13.14,11.98,4.28,0.0
20150322:1710,0.0,0.94,2.53,11.17,3.35,0.0
20150322:1810,0.0,0.0,0.0,10.36,2.41,0.0
20150322:1910,0.0,0.0,0.0,10.25,1.87,0.0
20150322:2010,0.0,0.0,0.0,10.15,1.32,0.0
20150322:2110,0.0,0.0,0.0,10.04,0.77,0.0
20150322:2210,0.0,0.0,0.0,9.83,1.43,0.0
20150322:2310,0.0,0.0,0.0,9.62,2.08,0.0
20150323:0010,0.0,0.0,0.0,9.41,2.73,0.0
20150323:0110,0.0,0.0,0.0,9.03,2.7,0.0
20150323:0210,0.0,0.0,0.0,8.64,2.68,0.0
20150323:0310,0.0,0.0,0.0,8.26,2.65,0.0
20150323:0410,0.0,0.0,0.0,8.29,2.66,0.0
20150323:0510,0.0,0.0,0.0,8.32,2.67,0.0
20150323:0610,311660.0,363.81,9.37,8.36,2.68,0.0
20150323:0710,562100.0,671.76,19.76,10.16,2.32,0.0
20150323:0810,715720.0,888.87,29.42,11.97,1.96,0.0
20150323:0910,550100.0,679.25,37.71,13.77,1.6,0.0
20150323:1010,630050.0,787.18,43.74,14.39,1.88,0.0
20150323:1110,456940.0,562.5,46.45,15.01,2.15,0.0
20150323:1210,638350.0,797.93,45.21,15.63,2.43,0.0
20150323:1310,725700.0,913.75,40.32,15.29,2.51,0.0
20150323:1410,672890.0,836.56,32.77,14.95,2.6,0.0
20150323:1510,681900.0,843.91,23.54,14.61,2.69,0.0
20150323:1610,551690.0,666.73,13.36,13.42,2.49,0.0
20150323:1710,73390.0,99.47,2.75,12.23,2.29,0.0
20150323:1810,0.0,0.0,0.0,11.05,2.08,0.0
20150323:1910,0.0,0.0,0.0,10.47,2.13,0.0
20150323:2010,0.0,0.0,0.0,9.89,2.18,0.0
20150323:2110,0.0,0.0,0.0,9.31,2.23,0.0
20150323:2210,0.0,0.0,0.0,9.14,2.1,0.0
20150323:2310,0.0,0.0,0.0,8.96,1.96,0.0
20150324:0010,0.0,0.0,0.0,8.78,1.82,0.0
20150324:0110,0.0,0.0,0.0,8.73,1.91,0.0
20150324:0210,0.0,0.0,0.0,8.68,2.0,0.0
20150324:0310,0.0,0.0,0.0,8.63,2.08,0.0
20150324:0410,0.0,0.0,0.0,8.43,1.89,0.0
20150324:0510,0.0,0.0,0.0,8.23,1.7,0.0
20150324:0610,134480.0,167.24,9.7,8.04,1.5,0.0
20150324:0710,578680.0,696.98,20.1,9.83,1.7,0.0
20150324:0810,374160.0,449.42,29.78,11.62,1.89,0.0
20150324:0910,250690.0,308.97,38.1,13.41,2.08,0.0
20150324:1010,254250.0,314.48,44.14,14.02,2.48,0.0
20150324:1110,543620.0,666.99,46.85,14.63,2.87,0.0
20150324:1210,573030.0,703.82,45.58,15.24,3.27,0.0
20150324:1310,329410.0,402.03,40.65,15.15,3.58,0.0
20150324:1410,190980.0,239.73,33.05,15.06,3.89,0.0
20150324:1510,69500.0,99.03,23.79,14.97,4.19,0.0
20150324:1610,65800.0,93.37,13.59,13.85,3.59,0.0
20150324:1710,0.0,2.45,2.97,12.73,2.99,0.0
20150324:1810,0.0,0.0,0.0,11.62,2.39,0.0
20150324:1910,0.0,0.0,0.0,11.15,2.41,0.0
20150324:2010,0.0,0.0,0.0,10.69,2.43,0.0
20150324:2110,0.0,0.0,0.0,10.22,2.46,0.0
20150324:2210,0.0,0.0,0.0,10.07,2.79,0.0
20150324:2310,0.0,0.0,0.0,9.92,3.13,0.0
20150325:0010,0.0,0.0,0.0,9.76,3.46,0.0
20150325:0110,0.0,0.0,0.0,9.8,3.89,0.0
20150325:0210,0.0,0.0,0.0,9.83,4.31,0.0
20150325:0310,0.0,0.0,0.0,9.86,4.73,0.0
20150325:0410,0.0,0.0,0.0,10.13,5.12,0.0
20150325:0510,0.0,0.0,0.0,10.41,5.5,0.0
20150325:0610,21940.0,39.46,10.04,10.69,5.89,0.0
20150325:0710,40230.0,62.67,20.45,11.06,6.55,0.0
20150325:0810,27190.0,46.51,30.14,11.42,7.21,0.0
20150325:0910,43970.0,67.38,38.48,11.79,7.88,0.0
20150325:1010,52870.0,78.01,44.54,11.47,8.04,0.0
20150325:1110,55500.0,81.04,47.25,11.15,8.2,0.0
20150325:1210,49080.0,73.29,45.95,10.83,8.36,0.0
20150325:1310,41540.0,64.16,40.97,10.68,7.84,0.0
20150325:1410,37500.0,59.18,33.33,10.53,7.32,0.0
20150325:1510,48440.0,72.37,24.03,10.38,6.8,0.0
20150325:1610,14530.0,29.69,13.82,10.3,6.04,0.0
20150325:1710,0.0,5.52,3.19,10.22,5.28,0.0
20150325:1810,0.0,0.0,0.0,10.14,4.52,0.0
20150325:1910,0.0,0.0,0.0,10.48,4.19,0.0
20150325:2010,0.0,0.0,0.0,10.81,3.86,0.0
20150325:2110,0.0,0.0,0.0,11.15,3.53,0.0
20150325:2210,0.0,0.0,0.0,11.57,2.66,0.0
20150325:2310,0.0,0.0,0.0,11.98,1.79,0.0
20150326:0010,0.0,0.0,0.0,12.39,0.92,0.0
20150326:0110,0.0,0.0,0.0,12.09,1.96,0.0
20150326:0210,0.0,0.0,0.0,11.78,3.0,0.0
20150326:0310,0.0,0.0,0.0,11.47,4.04,0.0
20150326:0410,0.0,0.0,0.0,11.64,3.51,0.0
20150326:0510,0.0,0.0,0.0,11.81,2.97,0.0
20150326:0610,207640.0,251.87,10.37,11.98,2.44,0.0
20150326:0710,167200.0,208.91,20.79,12.63,2.59,0.0
20150326:0810,46820.0,71.41,30.5,13.29,2.74,0.0
20150326:0910,62410.0,90.43,38.86,13.94,2.9,0.0
20150326:1010,120250.0,158.71,44.94,14.19,2.47,0.0
20150326:1110,173420.0,221.26,47.65,14.43,2.05,0.0
20150326:1210,264690.0,329.36,46.31,14.68,1.63,0.0
20150326:1310,216770.0,272.79,41.29,15.0,1.44,0.0
20150326:1410,155810.0,201.16,33.6,15.32,1.26,0.0
20150326:1510,207710.0,260.4,24.27,15.64,1.08,0.0
20150326:1610,179520.0,224.31,14.04,14.27,1.05,0.0
20150326:1710,112550.0,144.58,3.41,12.91,1.03,0.0
20150326:1810,0.0,0.0,0.0,11.55,1.01,0.0
20150326:1910,0.0,0.0,0.0,11.08,1.32,0.0
20150326:2010,0.0,0.0,0.0,10.61,1.64,0.0
20150326:2110,0.0,0.0,0.0,10.14,1.96,0.0
20150326:2210,0.0,0.0,0.0,9.7,1.89,0.0
20150326:2310,0.0,0.0,0.0,9.26,1.82,0.0
20150327:0010,0.0,0.0,0.0,8.81,1.75,0.0
20150327:0110,0.0,0.0,0.0,8.55,1.64,0.0
20150327:0210,0.0,0.0,0.0,8.28,1.52,0.0
20150327:0310,0.0,0.0,0.0,8.02,1.41,0.0
20150327:0410,0.0,0.0,0.0,8.21,1.76,0.0
20150327:0510,0.0,0.0,0.0,8.4,2.11,0.0
20150327:0610,15270.0,30.56,10.7,8.59,2.46,0.0
20150327:0710,70610.0,98.45,21.13,10.18,2.66,0.0
20150327:0810,45880.0,69.83,30.86,11.78,2.87,0.0
20150327:0910,72700.0,102.41,39.24,13.37,3.08,0.0
20150327:1010,78110.0,109.07,45.34,13.77,2.72,0.0
20150327:1110,342610.0,420.06,48.04,14.17,2.37,0.0
20150327:1210,456480.0,561.33,46.68,14.57,2.01,0.0
20150327:1310,506210.0,615.53,41.6,13.97,2.95,0.0
20150327:1410,534810.0,642.62,33.87,13.37,3.89,0.0
20150327:1510,677080.0,812.05,24.52,12.77,4.83,0.0
20150327:1610,544820.0,645.38,14.27,11.94,3.92,0.0
20150327:1710,75780.0,101.89,3.63,11.11,3.01,0.0
20150327:1810,0.0,0.0,0.0,10.29,2.1,0.0
20150327:1910,0.0,0.0,0.0,9.59,2.17,0.0
20150327:2010,0.0,0.0,0.0,8.9,2.25,0.0
20150327:2110,0.0,0.0,0.0,8.2,2.33,0.0
20150327:2210,0.0,0.0,0.0,7.88,2.35,0.0
20150327:2310,0.0,0.0,0.0,7.56,2.37,0.0
20150328:0010,0.0,0.0,0.0,7.24,2.39,0.0
20150328:0110,0.0,0.0,0.0,7.24,2.42,0.0
20150328:0210,0.0,0.0,0.0,7.24,2.46,0.0
20150328:0310,0.0,0.0,0.0,7.24,2.5,0.0
20150328:0410,0.0,0.0,0.0,6.82,1.94,0.0
20150328:0510,0.0,0.0,0.36,6.4,1.37,0.0
20150328:0610,474060.0,557.63,11.04,5.99,0.81,0.0
20150328:0710,714470.0,878.49,21.47,8.54,1.34,0.0
20150328:0810,793760.0,996.12,31.22,11.08,1.87,0.0
20150328:0910,816320.0,1034.63,39.62,13.63,2.4,0.0
20150328:1010,831320.0,1063.37,45.73,14.09,2.23,0.0
20150328:1110,837800.0,1079.61,48.44,14.55,2.06,0.0
20150328:1210,839120.0,1088.04,47.04,15.01,1.89,0.0
20150328:1310,820680.0,1074.42,41.92,15.62,1.45,0.0
20150328:1410,772440.0,1014.77,34.15,16.23,1.01,0.0
20150328:1510,718600.0,944.99,24.76,16.84,0.57,0.0
20150328:1610,611920.0,765.12,14.49,14.88,1.19,0.0
20150328:1710,164300.0,202.59,3.85,12.92,1.82,0.0
20150328:1810,0.0,0.0,0.0,10.97,2.44,0.0
20150328:1910,0.0,0.0,0.0,9.82,2.57,0.0
20150328:2010,0.0,0.0,0.0,8.68,2.7,0.0
20150328:2110,0.0,0.0,0.0,7.53,2.83,0.0
20150328:2210,0.0,0.0,0.0,7.46,2.68,0.0
20150328:2310,0.0,0.0,0.0,7.38,2.52,0.0
20150329:0010,0.0,0.0,0.0,7.3,2.37,0.0
20150329:0110,0.0,0.0,0.0,7.22,2.29,0.0
20150329:0210,0.0,0.0,0.0,7.14,2.22,0.0
20150329:0310,0.0,0.0,0.0,7.06,2.14,0.0
20150329:0410,0.0,0.0,0.0,6.96,1.95,0.0
20150329:0510,0.0,0.0,0.69,6.86,1.76,0.0
20150329:0610,484370.0,567.41,11.37,6.77,1.57,0.0
20150329:0710,698120.0,857.82,21.81,9.72,1.57,0.0
20150329:0810,691210.0,864.52,31.57,12.68,1.57,0.0
20150329:0910,792210.0,1028.2,40.0,15.63,1.57,0.0
20150329:1010,808620.0,1058.02,46.13,16.67,1.66,0.0
20150329:1110,807990.0,1061.59,48.83,17.7,1.76,0.0
20150329:1210,801790.0,1056.11,47.4,18.74,1.85,0.0
20150329:1310,803760.0,1047.86,42.24,19.03,2.42,0.0
20150329:1410,213110.0,270.97,34.42,19.32,2.99,0.0
20150329:1510,72000.0,104.06,25.0,19.61,3.56,0.0
20150329:1610,420940.0,513.37,14.71,17.85,2.96,0.0
20150329:1710,13100.0,27.76,4.06,16.09,2.35,0.0
20150329:1810,0.0,0.0,0.0,14.34,1.75,0.0
20150329:1910,0.0,0.0,0.0,13.47,2.43,0.0
20150329:2010,0.0,0.0,0.0,12.6,3.11,0.0
20150329:2110,0.0,0.0,0.0,11.73,3.79,0.0
20150329:2210,0.0,0.0,0.0,11.8,3.95,0.0
20150329:2310,0.0,0.0,0.0,11.86,4.11,0.0
20150330:0010,0.0,0.0,0.0,11.92,4.26,0.0
20150330:0110,0.0,0.0,0.0,11.1,3.68,0.0
20150330:0210,0.0,0.0,0.0,10.27,3.09,0.0
20150330:0310,0.0,0.0,0.0,9.44,2.51,0.0
20150330:0410,0.0,0.0,0.0,9.74,2.83,0.0
20150330:0510,0.0,0.0,1.02,10.04,3.14,0.0
20150330:0610,488080.0,572.71,11.7,10.34,3.46,0.0
20150330:0710,701160.0,853.34,22.15,12.36,3.26,0.0
20150330:0810,799630.0,1002.71,31.93,14.39,3.05,0.0
20150330:0910,812390.0,1037.18,40.37,16.41,2.84,0.0
20150330:1010,721000.0,908.39,46.52,17.59,3.46,0.0
20150330:1110,748330.0,945.73,49.22,18.77,4.08,0.0
20150330:1210,868760.0,1111.44,47.76,19.95,4.7,0.0
20150330:1310,832480.0,1063.75,42.55,20.04,4.45,0.0
20150330:1410,775680.0,986.15,34.69,20.14,4.2,0.0
20150330:1510,730560.0,924.23,25.24,20.24,3.94,0.0
20150330:1610,626070.0,775.59,14.93,18.85,3.7,0.0
20150330:1710,229880.0,281.03,4.28,17.47,3.46,0.0
20150330:1810,0.0,0.0,0.0,16.09,3.21,0.0
20150330:1910,0.0,0.0,0.0,15.39,4.12,0.0
20150330:2010,0.0,0.0,0.0,14.7,5.03,0.0
20150330:2110,0.0,0.0,0.0,14.0,5.93,0.0
20150330:2210,0.0,0.0,0.0,13.11,4.44,0.0
20150330:2310,0.0,0.0,0.0,12.22,2.94,0.0
20150331:0010,0.0,0.0,0.0,11.32,1.45,0.0
20150331:0110,0.0,0.0,0.0,11.02,1.54,0.0
20150331:0210,0.0,0.0,0.0,10.71,1.62,0.0
20150331:0310,0.0,0.0,0.0,10.41,1.71,0.0
20150331:0410,0.0,0.0,0.0,10.14,1.68,0.0
20150331:0510,0.0,0.0,1.35,9.87,1.65,0.0
20150331:0610,573190.0,687.75,12.03,9.61,1.61,0.0
20150331:0710,710990.0,892.22,22.49,12.57,1.41,0.0
20150331:0810,772610.0,1005.17,32.28,15.53,1.21,0.0
20150331:0910,778400.0,1039.02,40.75,18.49,1.01,0.0
20150331:1010,804010.0,1066.44,46.92,19.45,1.73,0.0
20150331:1110,821560.0,1083.11,49.61,20.4,2.45,0.0
20150331:1210,818740.0,1071.06,48.12,21.36,3.17,0.0
20150331:1310,724190.0,928.15,42.86,20.99,3.51,0.0
20150331:1410,805000.0,1034.53,34.95,20.63,3.84,0.0
20150331:1510,298950.0,370.47,25.47,20.27,4.18,0.0
20150331:1610,44290.0,69.47,15.15,18.7,4.84,0.0
20150331:1710,0.0,4.28,4.49,17.13,5.49,0.0
20150331:1810,0.0,0.0,0.0,15.56,6.15,0.0
20150331:1910,0.0,0.0,0.0,15.13,6.18,0.0
20150331:2010,0.0,0.0,0.0,14.69,6.22,0.0
20150331:2110,0.0,0.0,0.0,14.26,6.25,0.0
20150331:2210,0.0,0.0,0.0,13.78,6.66,0.0
20150331:2310,0.0,0.0,0.0,13.3,7.07,0.0
20150401:0010,0.0,0.0,0.0,12.82,7.48,0.0
20150401:0110,0.0,0.0,0.0,12.71,7.6,0.0
20150401:0210,0.0,0.0,0.0,12.59,7.72,0.0
20150401:0310,0.0,0.0,0.0,12.48,7.85,0.0
20150401:0410,0.0,0.0,0.0,12.2,7.76,0.0
20150401:0510,0.0,0.0,1.67,11.92,7.67,0.0
20150401:0610,516000.0,598.13,12.36,11.65,7.59,0.0
20150401:0710,702590.0,829.32,22.83,12.94,7.84,0.0
20150401:0810,785530.0,940.16,32.64,14.23,8.1,0.0
20150401:0910,830690.0,1004.61,41.12,15.53,8.36,0.0
20150401:1010,853020.0,1035.06,47.31,15.78,8.46,0.0
20150401:1110,854680.0,1038.36,50.0,16.03,8.57,0.0
20150401:1210,839040.0,1018.87,48.48,16.29,8.68,0.0
20150401:1310,827390.0,1009.35,43.17,16.86,8.05,0.0
20150401:1410,782860.0,956.33,35.22,17.43,7.42,0.0
20150401:1510,703130.0,856.89,25.71,18.0,6.79,0.0
20150401:1610,570530.0,683.59,15.37,16.25,5.87,0.0
20150401:1710,180720.0,221.31,4.71,14.5,4.96,0.0
20150401:1810,0.0,0.0,0.0,12.75,4.04,0.0
20150401:1910,0.0,0.0,0.0,11.43,3.15,0.0
20150401:2010,0.0,0.0,0.0,10.11,2.27,0.0
20150401:2110,0.0,0.0,0.0,8.79,1.38,0.0
20150401:2210,0.0,0.0,0.0,8.38,1.74,0.0
20150401:2310,0.0,0.0,0.0,7.97,2.11,0.0
20150402:0010,0.0,0.0,0.0,7.56,2.47,0.0
20150402:0110,0.0,0.0,0.0,7.53,2.51,0.0
20150402:0210,0.0,0.0,0.0,7.5,2.55,0.0
20150402:0310,0.0,0.0,0.0,7.47,2.59,0.0
20150402:0410,0.0,0.0,0.0,7.55,2.06,0.0
20150402:0510,0.0,0.0,2.0,7.63,1.54,0.0
20150402:0610,517050.0,615.27,12.68,7.72,1.01,0.0
20150402:0710,681110.0,834.23,23.16,9.86,1.66,0.0
20150402:0810,690300.0,850.24,32.99,12.01,2.31,0.0
20150402:0910,773020.0,967.65,41.5,14.16,2.97,0.0
20150402:1010,815760.0,1036.01,47.7,15.12,2.84,0.0
20150402:1110,812430.0,1039.46,50.39,16.09,2.71,0.0
20150402:1210,803720.0,1034.51,48.83,17.06,2.58,0.0
20150402:1310,790790.0,1016.83,43.47,17.64,2.65,0.0
20150402:1410,755000.0,965.78,35.48,18.23,2.73,0.0
20150402:1510,678370.0,857.49,25.94,18.82,2.8,0.0
20150402:1610,565110.0,696.19,15.59,17.22,2.74,0.0
20150402:1710,186410.0,230.18,4.92,15.63,2.67,0.0
20150402:1810,0.0,0.0,0.0,14.04,2.61,0.0
20150402:1910,0.0,0.0,0.0,13.17,2.56,0.0
20150402:2010,0.0,0.0,0.0,12.3,2.51,0.0
20150402:2110,0.0,0.0,0.0,11.43,2.46,0.0
20150402:2210,0.0,0.0,0.0,11.18,2.6,0.0
20150402:2310,0.0,0.0,0.0,10.93,2.74,0.0
20150403:0010,0.0,0.0,0.0,10.68,2.88,0.0
20150403:0110,0.0,0.0,0.0,10.21,2.61,0.0
20150403:0210,0.0,0.0,0.0,9.74,2.33,0.0
20150403:0310,0.0,0.0,0.0,9.27,2.06,0.0
20150403:0410,0.0,0.0,0.0,9.54,2.84,0.0
20150403:0510,11700.0,24.66,2.32,9.82,3.62,0.0
20150403:0610,299750.0,351.58,13.01,10.1,4.4,0.0
20150403:0710,684410.0,812.12,23.49,10.75,4.92,0.0
20150403:0810,781580.0,938.01,33.34,11.41,5.45,0.0
20150403:0910,828370.0,999.69,41.87,12.07,5.97,0.0
20150403:1010,849020.0,1029.83,48.09,12.52,6.0,0.0
20150403:1110,855320.0,1040.73,50.78,12.98,6.03,0.0
20150403:1210,827740.0,1006.74,49.19,13.44,6.06,0.0
20150403:1310,817230.0,996.3,43.78,14.06,5.91,0.0
20150403:1410,722510.0,875.31,35.74,14.68,5.77,0.0
20150403:1510,561980.0,673.36,26.17,15.3,5.63,0.0
20150403:1610,298800.0,356.23,15.8,13.81,5.17,0.0
20150403:1710,48290.0,71.09,5.13,12.33,4.72,0.0
20150403:1810,0.0,0.0,0.0,10.84,4.26,0.0
20150403:1910,0.0,0.0,0.0,10.14,3.96,0.0
20150403:2010,0.0,0.0,0.0,9.44,3.66,0.0
20150403:2110,0.0,0.0,0.0,8.74,3.35,0.0
20150403:2210,0.0,0.0,0.0,9.1,2.62,0.0
20150403:2310,0.0,0.0,0.0,9.46,1.88,0.0
20150404:0010,0.0,0.0,0.0,9.82,1.14,0.0
20150404:0110,0.0,0.0,0.0,9.74,1.05,0.0
20150404:0210,0.0,0.0,0.0,9.65,0.96,0.0
20150404:0310,0.0,0.0,0.0,9.57,0.87,0.0
20150404:0410,0.0,0.0,0.0,9.56,0.77,0.0
20150404:0510,0.0,1.18,2.65,9.55,0.67,0.0
20150404:0610,2280.0,10.7,13.33,9.55,0.57,0.0
20150404:0710,13500.0,28.19,23.83,9.47,1.26,0.0
20150404:0810,21300.0,38.67,33.68,9.4,1.94,0.0
20150404:0910,35390.0,56.46,42.23,9.33,2.63,0.0
20150404:1010,39320.0,61.26,48.48,9.14,2.37,0.0
20150404:1110,56620.0,81.96,51.16,8.96,2.11,0.0
20150404:1210,73630.0,101.8,49.54,8.78,1.85,0.0
20150404:1310,50320.0,74.42,44.08,8.88,1.99,0.0
20150404:1410,60190.0,86.07,36.0,8.99,2.12,0.0
20150404:1510,19640.0,36.44,26.4,9.1,2.26,0.0
20150404:1610,5230.0,15.82,16.02,8.46,1.81,0.0
20150404:1710,1520.0,9.15,5.35,7.83,1.35,0.0
20150404:1810,0.0,0.0,0.0,7.19,0.9,0.0
20150404:1910,0.0,0.0,0.0,7.0,1.58,0.0
20150404:2010,0.0,0.0,0.0,6.81,2.26,0.0
20150404:2110,0.0,0.0,0.0,6.62,2.94,0.0
20150404:2210,0.0,0.0,0.0,6.93,3.3,0.0
20150404:2310,0.0,0.0,0.0,7.25,3.66,0.0
20150405:0010,0.0,0.0,0.0,7.56,4.01,0.0
